"ID","Date","Tank.ID","Sample.Name","All_Treatment","Primary_Treatment","Second_Treament","Third_Treatment","mean.�mol.CRE.g.protein","mean.AFDW","mean.mgProt.mgAFDW","mean.Resp.ugLhrindiv","mean.Biovol","mean.Shell.Length"
"1",20190731,"31","SG130","MA","M","A",NA,"1.188712629","8.126086957","23.88344667","6.462389205","0.118497416","7.09733333333333"
"2",20190731,"29","SG139","MA","M","A",NA,"0.952180002","11.27887324","26.61076333","6.590799748","0.108330749","6.81133333333333"
"3",20190731,"22","SG140","MS","M","S",NA,"2.12233848","7.935294118","16.32429405","5.942723713","0.089297416","7.03066666666667"
"4",20190731,"35","SG23","MA","M","A",NA,"1.635196195","4.704255319","16.50894698","8.332004319","0.128897416","7.06233333333333"
"5",20190731,"32","SG24","MA","M","A",NA,"1.109957035","7.735714286","21.04069843","6.981250952","0.114830749","7.19133333333333"
"6",20190731,"1","SG25","MM","M","M",NA,"1.839796987","7.5755","16.16359933","5.056910063","0.088864083","7.13933333333333"
"7",20190731,"20","SG26","MS","M","S",NA,"1.580941087","2.6","17.32249524","11.99022929","0.157230749","7.70733333333333"
"8",20190731,"28","SG42","MA","M","A",NA,"1.445698406","13.02753623","13.83472383","7.493582195","0.125830749","7.08333333333333"
"9",20190731,"7","SG43","MM","M","M",NA,"1.707512292","9.8163","12.78756234","10.69911359","0.091997416","7.06833333333333"
"10",20190731,"8","SG44","MM","M","M",NA,"1.019897115","2.961290323","19.59319792","10.78784921","0.177930749","7.604"
"11",20190731,"18","SG45","MS","M","S",NA,"2.125579348","4.273684211","7.842125462","6.251068492","0.104430749","6.79966666666667"
"12",20190731,"27","SG59","MA","M","A",NA,"1.618594753","4.273684211","22.74440809","11.15314967","0.177197416","8.187"
"13",20190731,"2","SG60","MM","M","M",NA,"1.349299349","5.818181818","15.79909001","9.87590218","0.082197416","7.25233333333333"
"14",20190731,"17","SG61","MS","M","S",NA,"1.334765482","5.785826772","18.54060303","8.841942068","0.196497416","7.63633333333333"
"15",20190731,"13","SG62","MS","M","S",NA,"1.124902767","6.3","20.47108918","4.93797658","0.116130749","7.39333333333333"
"16",20190731,"23","SG63","MS","M","S",NA,"1.239895221","4.671028037","19.68778001","7.102278516","0.184397416","7.419"
"17",20190731,"9","SG77","MM","M","M",NA,"1.880490742","6.4279","13.07821587","6.218226789","0.074964083","7.02733333333333"
