H3_WShd_up_down_lower_EA_zscores	H3_WShd_up_down_lower_GD_zscores
-0.0133205	1.13480334636568
5.722755	8.32370992372758
5.96381	11.9046182666046
-1.408415	5.14137482699935
-0.9539295	2.55113955146227
-0.8214115	5.15327398342628
-0.0169715	0.0218403405880146
1.334925	2.56289964478661
1.4004125	3.59493210754221
-2.75866	4.95343471466962
-2.544125	4.51619162857427
-1.570635	8.91789566809489
0.04935995	0.0218403405880146
3.15429	6.10883095639043
-2.470225	4.35568566785226
-0.37203285	2.61584518357474
2.15238	4.00975801314621
-1.1246295	3.26697861535721
-1.588645	2.19687686312567
0.25654125	0.0218403405880146
-0.0841595	0.0218403405880146
0.07433005	0.0218403405880146
0.062837	0.0218403405880146
-0.0491212	0.0218403405880146
0.108498	0.0218403405880146
0.05386515	0.0218403405880146
-0.091249	0.0218403405880146
0.365191	0.0218403405880146
0.5277055	0.0218403405880146
0.1276033	0.0218403405880146
0.0874745	0.0218403405880146
0.3556955	0.0218403405880146
0.198182945	0.0218403405880146
0.2081905	0.0218403405880146
-0.6149615	7.17942394250315
-1.1796165	3.3666595675092
-0.0889599999999999	6.01226518648381
0.62907765	4.29827662984462
0.1941735	4.82399834598007
0.246216	2.6170465500677
0.06888455	0.0218403405880146
0.2211858	0.0218403405880146
-0.185638	0.0218403405880146
0.18785735	0.0218403405880146
0.413332	0.0218403405880146
0.2824745	0.0218403405880146
6.34999999999941e-05	0.0218403405880146
0.3309335	0.0218403405880146
0.8182115	4.60984873321473
0.2032765	3.97154025032125
-0.2918035	3.90729984551195
-0.67693	2.1937557613914
-0.313228	0.0218403405880146
0.6615535	3.06596912657189
3.73547	5.7582318459378
2.002645	2.70209821715982
0.12785935	0.0218403405880146
-0.0741969	0.0218403405880146
-0.272051	2.7348754163094
-0.011570205	0.0218403405880146
-0.198613	0.0218403405880146
0.5904205	4.79171972905867
0.0695711	0.0218403405880146
-0.490855	0.0218403405880146
0.016429215	0.0218403405880146
0.1085684	0.0218403405880146
0.217459	0.0218403405880146
0.2517461	0.0218403405880146
-0.1295411	0.0218403405880146
0.14489315	0.0218403405880146
0.0653805	0.0218403405880146
0.06455635	0.0218403405880146
-0.0891186	0.0218403405880146
4.64276	5.66219149656545
-0.041398	2.87813890477039
0.12826675	0.0218403405880146
0.223621	0.0218403405880146
0.14082065	0.0218403405880146
-0.29148555	3.22953030575572
